,C3L-02610,C3N-01998,C3L-01637,C3L-02606,C3N-00436,C3L-00819,C3N-00518,C3L-00102,C3N-00517,C3L-00640,C3N-01011,C3L-03123,C3N-02768,C3L-02809,C3N-02589,C3N-03780,C3N-03440,C3N-02010,C3L-04072,C3N-03069,C3L-02899
PPP1R12C,10.81228341,10.87938497,10.66912648,10.9094011,10.90400941,10.54882191,10.72177686,10.75733629,10.48618348,10.54659868,10.7402034,10.08850428,10.09580909,10.5134653,10.08496622,9.967226259,10.13323713,10.26260937,10.40561169,10.36888747,9.975083809
PPP1R13B,9.909975496,9.208976763,10.05753895,9.94349436,9.751818206,9.460230618,9.237789633,9.745697744,10.00040743,9.049675284,9.777633616,10.15020126,9.299949158,9.379477485,9.280918602,9.900093052,10.07875377,10.01931101,9.806774128,10.27624612,8.971498017
PPP1R13L,8.638299169,7.723439894,8.865629997,8.862574669,8.709567119,8.189824559,7.821915049,8.618754298,8.884806966,7.758036567,8.482767815,8.033299801,7.914256038,7.90903714,7.878535991,8.220295319,8.73488679,8.446105716,8.324094387,8.451929163,7.585353549
PPP1R14A,6.510861938,7.26257334,6.384519123,6.519263946,6.87790805,7.159871337,7.5955767,5.924968666,6.321435583,6.608661644,7.047315609,5.16756035,6.225698174,8.105342882,5.419243702,6.236720003,5.629839466,6.08734211,4.723516547,6.59615849,5.820500447
PPP1R14B,10.83003165,10.15775691,10.71050819,10.84137608,11.35326171,10.70378248,10.54488636,10.61638712,11.16321972,10.42008049,10.47695141,12.25378009,10.44411439,9.664377365,10.80538955,11.47719887,11.34322868,10.80144309,10.71760325,12.00400848,9.89949694
PPP1R14C,3.880060079,6.973234576,6.875005625,6.74607291,6.286845319,7.787902559,7.995708681,6.891391508,5.675913826,8.273321648,6.037537717,5.40583277,7.304834399,5.385836052,7.002155417,7.103821032,6.670994696,6.525427081,5.843831588,3.110034846,7.241502862
PPP1R14D,2.943624701,4.245464613,3.06558572,2.039718467,3.782934756,3,3.68054934,4.658068736,4.689636714,5.751858096,3.891565041,0,1.992884252,2.038004235,2.803722481,2.472048886,3.537822077,2.383240036,2.567907893,3.971481557,2.348400991
PPP1R15A,10.73663146,11.07505852,10.51968079,11.45793229,11.44243618,10.50779464,11.8096227,10.95601303,10.67640905,10.69527836,12.00288346,9.771664844,10.84620642,12.55721889,10.67790945,10.30903413,10.82238405,10.09253353,10.93927353,11.25107909,11.62944624
PPP1R15B,12.00465539,11.94407511,12.14380953,12.09725589,12.08054998,11.88974351,11.93602372,12.30828504,11.78485831,12.12900126,12.37796307,12.84387105,12.07141152,12.7032337,12.34256156,12.19614572,12.50196697,12.19709376,12.57955139,12.78846907,12.78546771
PPP1R16A,10.0929434,9.2449352,9.751660693,10.06795371,9.590688567,9.756556323,9.59201912,9.811295617,10.03898417,9.049675284,9.965514588,9.480425899,8.508777559,8.105342882,8.795959071,9.590855113,9.521521696,9.126576729,9.051023832,9.771142117,7.829729432
PPP1R16B,9.583187686,11.55982364,10.2984784,9.653545297,10.11695438,9.927777962,10.26083008,9.902118256,9.575847144,10.73640086,10.39358025,8.831680794,10.35641208,10.8859941,9.79144544,8.997611538,8.654908931,9.791046175,9.797567394,8.976958079,10.66225732
PPP1R17,2.434635123,3.168087115,2.868729054,3.0595777,2.373691551,2.584962501,2.792264999,2.329034368,2.290064536,2.560259824,2.044235497,2.225547105,2.797366707,3.057006352,2.318923748,1.687435883,1.768911038,2.881484858,3.56131027,1.755848029,2.348400991
PPP1R18,10.12327471,11.3343874,10.39097868,10.50374239,11.11584914,10.75905594,11.0337889,10.6709949,10.66380301,10.86882942,10.25252291,9.240227602,10.85530015,11.08631837,10.51678103,10.4618693,9.702440931,10.40991564,10.87758388,9.348635083,10.83987139
