Protein.Group	Genes	CGGA_P137	CGGA_P173	CGGA_P271	CGGA_P647	CGGA_P660	CGGA_P736	CGGA_P778	CGGA_P802	CGGA_P83	CGGA_P153	CGGA_P295	CGGA_P679	CGGA_P698	CGGA_P714	CGGA_P737	CGGA_P151	CGGA_P179	CGGA_P541	CGGA_P658	CGGA_P687	CGGA_P699	CGGA_P704	CGGA_P711	CGGA_P721	CGGA_P84	CGGA_P882	CGGA_2103	CGGA_P1088	CGGA_P109	CGGA_P401	CGGA_P411	CGGA_P568	CGGA_P633	CGGA_P653	CGGA_P87
Q9BV79	MECR	109.075	116.869	174.924	178.44	125.288	156.859	85.1958	103.817	162.972	106.489	122.07	118.71	84.9923	116.747	128.197	154.309	160.174	126.89	126.088	109.91	161.312	135.401	124.836	110.15	123.469	100.993	91.6971	115.978	71.7052	118.195	70.5987	90.254	162.619	168.94	94.9525
Q9BV81	EMC6	56.7801	47.2311	32.2059	29.7915	51.6571	29.8117	30.0059	26.3195	29.6185	30.973	30.8392	42.3882	38.3262	42.6832	25.2335	24.3611	32.7533	NA	41.9726	30.3458	34.9485	24.8827	35.2164	17.1926	29.9653	28.2865	32.718	71.3724	30.9242	NA	28.802	41.8429	33.5017	58.9692	39.6359
Q9BV86	NTMT1	88.8999	101.451	112.108	85.7135	93.6464	111.043	200.461	105.33	79.0754	121.315	48.4011	88.1164	143.743	158.904	121.454	68.9837	58.9934	82.9963	142.626	140.829	87.4423	84.9906	85.4326	92.2312	78.1343	75.2046	138.158	87.9087	79.5962	107.304	95.7705	187.957	119.13	232.696	101.732
Q9BVA0	KATNB1	20.2203	20.2866	28.8114	31.1634	20.5688	30.0106	30.1855	19.8222	24.7666	30.0703	28.8479	NA	23.6042	22.2976	28.8197	53.1195	54.2355	43.7349	30.1494	35.1661	39.2191	44.1088	35.987	34.1556	44.6757	39.6245	10.3195	26.8664	18.9285	33.4585	23.3121	26.0565	30.4743	24.714	30.6578
Q9BVA1	TUBB2B	9958.39	9219.04	13692.2	11310	9086.31	13348.7	10636.8	10067.9	10437.5	12993.9	13158.5	5938.82	11113.3	10843	11686.4	16973.6	17019.1	15606.6	11484.2	13069	13521.2	13058.8	12824.8	14737.4	14150.5	12690.8	5022.54	9009.86	8133.07	12207.8	7466.17	6805.86	11471.7	7283.38	10427
Q9BVC4	MLST8	22.8844	24.2332	20.9666	23.5038	23.2025	18.9524	16.2198	22.4158	24.0912	22.8327	17.9758	16.3193	NA	19.8881	28.8864	23.9135	21.7632	13.8803	21.9115	18.2612	20.522	21.0304	15.7656	20.9625	22.7785	22.0942	17.9958	NA	19.4934	20.2244	15.5275	18.4446	27.3759	24.8104	13.76
Q9BVC5	C2orf49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39.5414	NA	NA	NA	16.3986	NA	NA	NA	NA	NA	NA	15.9984	NA	31.4677	NA
Q9BVC6	TMEM109	249.1	221.175	331.29	265.736	259.312	174.73	262.295	221.6	259.34	235.205	376.567	492.255	541.354	332.941	335.976	181.095	200.267	208.925	208.17	232.904	431.873	191.738	246.924	160.746	246.886	228.729	515.914	457.644	278.333	312.289	219.101	320.029	268.905	222.118	212.923
Q9BVG4	PBDC1	96.225	75.765	92.4104	82.1451	89.9634	96.6796	89.7935	96.8877	91.9547	72.9295	77.8123	80.3391	89.8797	104.891	93.2751	51.1269	45.6281	60.1402	74.3564	93.6927	85.9268	87.8499	52.3101	45.2475	75.294	70.5375	88.0211	95.7426	105.583	112.869	86.3875	108.322	88.8027	124.821	89.5479
Q9BVG9	PTDSS2	70.9189	92.3751	41.5845	54.9999	87.7952	70.9209	55.6666	54.6627	94.1606	61.2821	54.7385	94.958	58.6632	65.6553	76.7895	34.3629	42.8937	38.1143	62.3871	51.0074	56.2589	40.3014	64.2392	116.788	54.0803	51.5764	59.5538	70.7253	48.3493	36.4148	33.7284	53.3282	54.3236	43.2212	57.555
